4510;Equipo;Equipo durante el período seleccionado;Posición específica;Edad;Valor de mercado (Transfermarkt);Vencimiento contrato;Partidos jugados;Minutos jugados;Goles;xG;Asistencias;xA;Duelos/90;Duelos ganados, %;País de nacimiento;Pasaporte;Pie;Altura;Peso;En prestamo;Acciones defensivas realizadas/90;Duelos defensivos/90;Duelos defensivos ganados, %;Duelos aéreos en los 90;Duelos aéreos ganados, %;Entradas/90;Posesión conquistada después de una entrada;Tiros interceptados/90;Interceptaciones/90;Posesión conquistada después de una interceptación;Faltas/90;Tarjetas amarillas;Tarjetas amarillas/90;Tarjetas rojas;Tarjetas rojas/90;Acciones de ataque exitosas/90;Goles/90;Goles (excepto los penaltis);Goles, excepto los penaltis/90;xG/90;Goles de cabeza;Goles de cabeza/90;Remates;Remates/90;Tiros a la portería, %;Goles hechos, %;Asistencias/90;Centros/90;Precisión centros, %;Centros desde la banda izquierda/90;Precisión centros desde la banda izquierda, %;Centros desde la banda derecha/90;Precisión centros desde la banda derecha, %;Centros al área pequeña/90;Regates/90;Regates realizados, %;Duelos atacantes/90;Duelos atacantes ganados, %;Toques en el área de penalti/90;Carreras en progresión/90;Aceleraciones/90;Pases largos recibidos/90;Faltas recibidas/90;Pases/90;Precisión pases, %;Pases hacia adelante/90;Precisión pases hacia adelante, %;Pases hacia atrás/90;Precision pases hacia atrás, %;Pases laterales/90;Precisión pases laterales, %;Pases cortos / medios /90;Precisión pases cortos / medios, %;Pases largos/90;Precisión pases largos, %;Longitud media pases, m;Longitud media pases largos, m;xA/90;Asistencias/90;Second assists/90;Third assists/90;Desmarques/90;Precisión desmarques, %;Jugadas claves/90;Pases en el último tercio/90;Precisión pases en el último tercio, %;Pases al área de penalti/90;Pases hacía el área pequeña, %;Pases en profundidad/90;Precisión pases en profundidad, %;Ataque en profundidad/90;Centros desde el último tercio/90;Pases progresivos/90;Precisión pases progresivos, %;Tiros libres/90;Tiros libres directos/90;Tiros libres directos, %;Córneres/90;Penaltis a favor;Penaltis realizados, %
R. Calafiori;Bologna;Bologna;LCB, LB;21;3500000;2025-06-30;26;2190;0;1,09;1;0,72;18,99;59,09;Italy;Italy;izquierdo;188;86;no;10,97;6,99;66,47;3,7;58,89;0,49;0,75;0,62;5,84;8,82;1,32;4;0,16;1;0,04;1,27;0;0;0;0,04;0;0;13;0,53;23,08;0;0,04;0,7;41,18;0,66;37,5;0,04;100;0,08;1,56;55,26;4,6;45,54;0,95;1,85;0,7;0,49;1,11;54,58;89,76;17,59;81,07;4,19;96,08;25,4;95,95;51;92,02;2,96;61,11;18,68;33,42;0,03;0,25;0,04;0,04;0,08;0;0,12;4,85;77,12;0,7;35,29;0,29;14,29;0,25;0,21;6,45;66,24;0,04;0,04;0;0;0;0
P. van Aanholt;PSV;PSV;LB;33;3200000;2024-06-30;23;1545;0;1,6;1;2,14;10,57;55,31;Netherlands;Netherlands, Curaçao;izquierdo;176;74;si;6,73;5,26;68,54;1,06;38,89;0,12;0,18;0,24;3,01;4,71;0,47;0;0;0;0;1,83;0;0;0;0,09;0;0;24;1,42;20,83;0;0,06;2,07;40;2,01;41,18;0;0;0,3;0,89;60;2,42;41,46;2,01;1,12;0,18;2,19;0,3;50,67;87,41;15,24;79,46;9,8;97,59;15,53;88,21;47,01;90,58;1,65;53,57;16,46;21,74;0,13;1,24;0,06;0,06;0,35;50;0,71;5,14;86,21;2,24;52,63;0,24;50;1,12;0,77;7,03;73,11;0,18;0,06;0;0;0;0
L. Valenti;Parma;Parma;LCB, LB;24;3000000;2025-06-30;15;1382;0;0,89;2;0,53;16,54;57,09;Argentina;Argentina, Italy;izquierdo;188;80;no;11,4;7,81;65,83;3,39;53,85;0,46;0,65;0,26;5,8;8,27;1,37;5;0,33;1;0,07;1,63;0;0;0;0,06;0;0;11;0,72;36,36;0;0,13;1,89;37,93;1,5;39,13;0,39;33,33;0,13;1,3;50;2,6;42,5;1,5;0,85;0,26;0,72;0,33;47,15;78,18;21,03;67,8;2,93;88,89;18,95;91,07;38,81;85,07;6,45;48,48;22,11;41,61;0,03;0,59;0;0;0;0;0,2;7,68;59,32;2,08;37,5;0,33;0;0,72;0,72;9,96;68,63;0;0;0;0;0;0
A. Reca;Spezia;Spezia;LWB, LB;28;3000000;2025-06-30;12;1083;2;0,86;1;1,86;15,71;48,68;Poland;Poland;izquierdo;187;76;no;8,14;6,15;54,05;2,16;34,62;0,08;0,12;0,17;4,74;6,9;0,66;1;0,08;0;0;4,16;0,17;2;0,17;0,07;0;0;10;0,83;30;20;0,08;4,4;54,72;4,4;54,72;0;0;0,33;3,16;47,37;5,4;43,08;1,41;1,66;0,75;0,75;0,75;30,58;71,74;11,72;60,99;3,57;95,35;9,89;74,79;22,27;81,72;4,32;36,54;20,46;37,98;0,15;1,33;0;0;0;0;0,66;3,82;60,87;3,66;65,91;0,25;33,33;0,42;2,16;8,23;71,72;0;0;0;0;0;0
L. Augustinsson;Anderlecht;Anderlecht;LB;29;3000000;2025-06-30;19;1603;0;0,8;4;4,01;16,39;57,88;Sweden;Sweden;izquierdo;181;76;si;7,8;6,91;70,73;3,48;40,32;0,28;0,37;0;2,64;3,52;1,12;2;0,11;0;0;2,13;0;0;0;0,04;0;0;11;0,62;18,18;0;0,22;3,65;40;3,59;40,63;0,06;0;0,67;1,18;47,62;3,37;50;1,29;1,68;0,51;2,53;0,9;45,59;82,51;18,58;76,74;6,96;97,58;13,19;80,43;37,22;90,65;5,05;53,33;17,61;34,07;0,22;1,29;0,06;0,22;0;0;0,84;5,11;75,82;3,82;50;0,11;100;0,67;1,12;9,71;75,14;0,17;0;0;0,62;0;0
M. Fares;Brescia;Brescia;LWB, LB;27;3000000;2025-06-30;11;443;0;1,1;0;0,23;17,67;52,87;France;France, Algeria;izquierdo;183;72;si;8,74;7,31;58,33;2,44;58,33;0,2;0,27;0;4,27;5,73;0,81;3;0,61;0;0;3,25;0;0;0;0,22;0;0;11;2,23;9,09;0;0;4,06;40;3,86;36,84;0,2;100;0,41;2,44;58,33;5,28;53,85;1,83;0,61;0,2;1,42;0,61;33,72;73,49;10,56;63,46;6,3;100;11,99;72,88;25,4;82,4;4,27;52,38;19,67;28,03;0,05;0,41;0;0;0,2;0;0,41;4,06;70;3,86;42,11;0,2;0;0,41;1,83;8,13;70;0,41;0,2;0;0,2;0;0
J. Sanabria;Atlético de San Luis;Atlético de San Luis;LB;23;3000000;2025-06-30;28;2771;1;1,2;4;4,37;14,78;54,73;Uruguay;Uruguay, Spain;izquierdo;173;62;no;9,26;7,41;56,58;2,24;52,17;0,62;0,77;0,39;4,45;5,52;0,88;5;0,16;0;0;2,21;0,03;1;0,03;0,04;0;0;19;0,62;26,32;5,263;0,13;2,83;36,78;2,73;36,9;0,1;33,33;0,26;1,62;58;3,28;52,48;1,17;1,46;0,52;2,4;0,55;41,22;81,48;13,28;74,08;5,91;96,15;15,43;81,89;34,27;88,72;4,25;52,67;20,39;39,08;0,14;1,4;0,13;0,03;0,39;16,67;0,55;4,42;66,18;2,57;49,37;0,39;16,67;0,49;0,91;8,18;68,25;0,78;0,16;20;1,56;0;0
B. Mykhailichenko;Polissya;Polissya;LB;26;3000000;2024-06-30;14;785;0;0,83;1;1,32;15,25;49,62;Ukraine;Ukraine;izquierdo;178;73;no;10,66;7,68;65,67;1,15;60;0,57;0,88;0,34;5,04;7,76;1,38;1;0,11;0;0;1,95;0;0;0;0,1;0;0;5;0,57;60;0;0,11;2,75;25;2,75;25;0;0;0,34;2,18;31,58;4,36;34,21;1,83;2,18;0,57;2,87;0,8;54,11;84,11;17,89;74,36;9,29;96,3;18,57;85,19;47,01;92,2;4,59;35;19,28;28,6;0,15;0,92;0;0;0,34;66,67;0,8;5,39;65,96;2,98;34,62;1,03;33,33;1,03;0,57;8,14;69,01;0;0;0;0;0;0
N. Nkounkou;Eintracht Frankfurt;Eintracht Frankfurt;LWB, LB;23;3000000;2024-06-30;25;1628;2;0,92;2;1,57;22,67;46,1;France;France, Congo;izquierdo;180;78;no;9,73;8,02;54,48;2,93;43,4;0,5;0,68;0,17;4,86;6,68;1,49;3;0,17;1;0,06;5,09;0,11;2;0,11;0,05;0;0;21;1,16;38,1;9,524;0,11;3,15;42,11;3,04;41,82;0,11;50;0,28;6,03;52,29;9,4;42,94;1,77;2,27;0,88;1,55;0,17;43,56;76,9;14,37;67,31;7,02;89,76;14,32;82,24;36,38;83,43;4,2;46,05;19,05;32,94;0,09;0,44;0;0;0,72;23,08;0,33;5,53;64;3,43;48,39;1,33;25;0,77;1,33;8,9;70,81;0,06;0;0;0,28;0;0
Welington;São Paulo;São Paulo;LB;22;3000000;2024-12-31;7;571;0;0,21;0;0,86;22,5;56,52;Brazil;Brazil;izquierdo;175;73;no;8,97;7,66;68,09;3,1;36,84;0,98;1,61;0,33;2,77;4,55;2,28;3;0,47;0;0;3,91;0;0;0;0,03;0;0;4;0,65;0;0;0;3,91;37,5;3,75;39,13;0,16;0;0,33;4,24;57,69;9,29;52,63;0,98;3,1;0,82;1,96;2,61;35,71;82,65;10,11;69,35;7,99;97,96;11,09;83,82;28,86;91,53;2,93;55,56;19,29;33,05;0,14;1,14;0;0;0,16;0;0,49;4,08;72;3,59;45,45;0,16;0;1,14;1,3;6,2;78,95;0;0;0;0;0;0
Núrio Fortuna;Gent;Gent;LCB, LB;28;2800000;2024-06-30;19;1290;0;0,57;2;0,41;18;56,98;Angola;Angola, Portugal;izquierdo;177;73;no;11,02;9,21;58,33;1,88;48,15;0,63;0,89;0,21;5,02;7,15;2,02;7;0,49;0;0;1,53;0;0;0;0,04;0;0;6;0,42;0;0;0,14;1,12;12,5;1,12;12,5;0;0;0;1,88;66,67;5,09;61,64;0,35;1,26;0,77;0,56;2,44;48,21;78,87;24,14;69,36;4,4;95,24;14,09;89,11;40,6;86,94;6,49;39,78;20,56;35,93;0,03;0,42;0;0;0,14;100;0,14;8,79;57,94;2,3;33,33;1,53;31,82;0,63;0,14;10,81;77,42;0;0;0;0;0;0
D. Melnjak;Hajduk Split;Hajduk Split;LB;31;2500000;2024-05-31;15;1452;1;2,2;1;1,33;14,32;56,28;Croatia;Croatia;izquierdo;179;72;no;9,55;5,33;65,12;3,41;61,82;0,37;0,5;0,31;5,7;7,6;0,31;1;0,06;0;0;2,05;0,06;1;0,06;0,14;0;0;14;0,87;28,57;7,143;0,06;3,22;30,77;3,22;30,77;0;0;0,43;1,05;64,71;3,1;48;2,42;0,93;0,19;2,11;0,74;35,27;74,34;11,53;66,13;4,83;88,46;12,89;75,48;26,78;82,41;5,52;58,43;20,81;38,72;0,08;0,99;0;0;0,12;100;0,56;4,59;63,51;3,41;43,64;0,62;60;1,12;0,93;8,24;74,44;0,06;0;0;0,06;0;0
T. Ouwejan;Schalke 04;Schalke 04;LB, LWB;27;2500000;2024-06-30;15;1159;2;0,81;4;5,02;9,71;53,6;Netherlands;Netherlands;izquierdo;183;78;no;6,6;4,43;61,4;1,86;37,5;0,08;0,11;0,16;3,81;5,27;0,78;2;0,16;0;0;2,8;0,16;2;0,16;0,06;0;0;16;1,24;25;12,5;0,31;4,04;42,31;3,73;39,58;0,31;75;0,47;0,85;90,91;2,02;65,38;0,85;1,09;0,31;1,09;0,31;33;75,76;12,35;74,21;5,82;96;9,24;68,91;25,24;83,38;3,88;60;20,94;34,14;0,39;2,41;0;0,08;0;0;0,93;4,43;61,4;3,26;45,24;0,39;60;0,08;1,71;7,69;76,77;3,42;0,54;42,86;4,5;0;0
D. Schmid;Basel;Basel;LB;25;2500000;2024-06-30;25;2215;0;0,42;4;4,34;13,29;58,72;Switzerland;Switzerland;izquierdo;183;74;no;9,59;6,22;61,44;2,32;52,63;0,28;0,4;0,45;5,49;7,66;0,81;4;0,16;0;0;2,84;0;0;0;0,02;0;0;9;0,37;11,11;0;0,16;3,74;43,48;3,58;43,18;0,12;33,33;0,41;1,58;74,36;2,84;64,29;0,53;1,54;0,69;1,95;1,14;40,35;76,84;16,9;66,83;5,77;94,37;12,31;80,86;32,14;85,46;4,63;42,11;19,67;33,45;0,18;1,26;0,04;0,04;0,16;0;0,37;5,36;65,15;3,9;45,83;0,65;12,5;0,33;1,67;9,59;73,31;0,69;0,04;0;2,32;0;0
M. Rodi?;Crvena Zvezda;Crvena Zvezda;LCB, LB;32;2500000;2025-06-30;18;1347;1;0,81;0;0,96;14,9;51,57;Serbia;Serbia;izquierdo;185;70;no;6,95;6,15;52,17;4,61;52,17;0,33;0,51;0,47;3,41;5,17;1,8;4;0,27;0;0;2,47;0,07;1;0,07;0,05;1;0,07;10;0,67;60;10;0;3,67;41,82;3,61;42,59;0,07;0;0,73;0,4;83,33;1,27;52,63;1,34;1,07;0,47;1,54;0,27;41,63;83,79;17,71;80,38;3,94;91,53;14,37;84,65;33,21;91,55;4,88;61,64;19,85;33,63;0,06;0,2;0;0,07;0,4;50;0,13;6,41;76,04;3,14;51,06;0,53;62,5;0,33;1,34;9,62;84,72;0,2;0;0;0,07;0;0
H. Delcroix;Burnley;Burnley;LCB, LB;24;2200000;2024-06-30;13;770;0;0,59;0;0,24;11,45;54,08;Haiti;Haiti, Belgium;izquierdo;183;75;no;8,53;5,49;55,32;2,22;57,89;0,47;0,59;0,58;5,03;6,35;0,7;1;0,12;0;0;0,7;0;0;0;0,07;0;0;4;0,47;50;0;0;0,12;100;0,12;100;0;0;0;0,35;66,67;1,99;35,29;0,7;0,58;0,12;0,94;0,23;47,34;88,64;16,6;77,46;8,77;98,67;16,36;92,86;42,55;93,96;4,68;40;17,21;20,73;0,03;0,23;0;0;0,12;100;0,12;4,79;75,61;0,7;33,33;0,82;14,29;0,23;0,12;6,19;58,49;0;0;0;0;0;0
Gil Dias;Legia Warszawa;Legia Warszawa;LWB, LB, RWB;27;2000000;2025-06-30;19;865;0;1,17;1;0,76;24,55;50,85;Portugal;Portugal;izquierdo;185;78;si;9,88;8,74;66,67;1,87;50;0,21;0,31;0,1;3,85;5,72;1,04;1;0,1;0;0;4,68;0;0;0;0,12;0;0;19;1,98;21,05;0;0,1;3,54;32,35;3,12;30;0,31;66,67;0,42;5,93;52,63;11,13;42,99;2,71;3,54;1,04;2,71;0,73;38,81;79,36;9,47;68,13;8,74;88,1;12,8;83,74;33,4;85,98;1,87;50;15,93;12,52;0,08;0,42;0;0,1;0;0;0,21;1,66;81,25;3,12;56,67;0;0;0,94;1,14;5,72;56,36;0;0;0;0,1;0;0
G. Mensah;Auxerre;Auxerre;LB;25;2000000;2025-06-30;23;2015;0;0,46;3;2,68;17,82;50,13;Ghana;Ghana;izquierdo;178;70;no;9,83;7,64;59,06;2,1;55,32;0,45;0,65;0,09;4,87;7,06;1,3;5;0,22;0;0;2,81;0;0;0;0,02;0;0;5;0,22;40;0;0,13;4,33;38,14;4,33;38,14;0;0;0,63;2,01;46,67;6,16;36,96;0,76;2,41;0,8;2,9;0,8;51,5;82,91;17,73;77,08;9,69;95,39;16,79;83,51;43,01;90,24;4,38;52,04;19,71;35,03;0,12;0,94;0;0,09;0,31;42,86;0,58;6,52;76,71;4,02;46,67;0,67;20;0,36;1,56;10,99;84,55;0;0;0;0,09;0;0
José Marsà;FC Andorra;FC Andorra;LCB, LB;21;2000000;2024-06-30;15;1121;0;0,05;0;0,16;14,69;59,02;Spain;Spain;izquierdo;185;68;no;7,23;5,62;64,29;2,81;62,86;0,08;0,15;0,56;3,53;6,47;0,72;3;0,24;0;0;1,12;0;0;0;0;0;0;5;0,4;0;0;0;0,24;66,67;0,16;50;0,08;100;0,08;1,53;57,89;3,61;57,78;0,08;2,73;1,2;0,56;1,2;77,4;91,49;22,96;78,67;7,87;97,96;35,97;97,1;70,81;94,67;6,34;56,96;19,38;36,75;0,01;0,24;0;0;0,16;50;0,16;8,35;74,04;0,96;58,33;0,88;18,18;0,4;0,16;10,68;78,95;0;0;0;0;0;0
C. Borja;Sporting Braga;Sporting Braga;LB;30;2000000;2025-06-30;31;2777;1;0,28;2;4,4;15,3;57,2;Colombia;Colombia;izquierdo;179;66;no;7,91;6,45;69,85;1,78;45,45;0,13;0,19;0,13;3,27;4,84;0,97;4;0,13;0;0;2,63;0,03;1;0,03;0,01;0;0;5;0,16;20;20;0,06;3,4;38,1;3,31;38,24;0,1;33,33;0,49;1,88;60,34;4,54;47,14;0,94;1,88;0,62;2,53;0,75;47,48;84,98;16,2;76;7,32;96,46;15,95;89,23;40,03;92,06;4,21;53,08;19,46;34,89;0,14;1;0;0,06;0,29;55,56;0,58;5,51;74,12;3,27;61,39;0,55;35,29;0,75;1,26;10,31;81,76;0,06;0;0;0,84;0;0
M. Saracchi;Boca Juniors;Boca Juniors;LB;25;2000000;2024-06-30;38;2542;0;0,71;2;1,84;15,11;54,44;Uruguay;Uruguay;izquierdo;172;69;no;9,92;7,31;66,67;1,24;31,43;0,28;0,47;0,21;4,77;7,89;1,2;9;0,32;2;0,07;2,72;0;0;0;0,02;0;0;16;0,56;31,25;0;0,07;4,55;27,91;4,55;27,91;0;0;0,35;1,94;63,64;3,6;52,94;0,95;1,69;0,67;3,04;0,39;46,68;80,48;14,3;73,09;8,83;93,2;15,64;79,23;38,27;88,93;4,13;59,83;19,03;27,22;0,06;0,64;0;0,07;0,14;25;0,35;4,52;70,31;3,81;32,41;0,46;46,15;0,35;1,27;8,3;70,64;0;0;0;0,04;0;0
M. Wittek;Bochum;Bochum;LWB, LB;28;2000000;2024-06-30;13;774;0;0,47;1;1,25;19,47;52,03;Germany;Germany;izquierdo;173;70;no;11,18;8,42;57,81;3,03;47,83;0,79;1,08;0;5,53;7,59;1,97;3;0,35;0;0;3,42;0;0;0;0,06;0;0;17;2,24;41,18;0;0,13;3,03;52,17;2,89;54,55;0,13;0;0,39;1,45;54,55;3,82;62,07;0,13;1,05;0,26;2,11;2,11;34,34;76,63;14,21;68,52;3,95;96,67;11,97;78,02;26,45;84,08;5;50;20,26;30,3;0,16;1,84;0;0;0,39;33,33;0,92;7,76;59,32;3,82;62,07;1,05;37,5;1,05;1,58;10,66;82,72;0,79;0,39;66,67;2,37;0;0
